date,max_temp,min_temp
2021-04-01,11.6,8.1
2021-04-02,17.5,8.0
2021-04-03,19.3,6.3
2021-04-04,21.1,5.4
2021-04-05,20.3,6.9
2021-04-06,14.7,6.7
2021-04-07,14.1,3.5
2021-04-08,13.2,1.5
2021-04-09,10.9,3.2
2021-04-10,14.0,3.3
2021-04-11,18.4,4.8
2021-04-12,18.6,7.7
2021-04-13,20.2,4.6
2021-04-14,19.1,6.7
2022-04-01,19.8,4.2
2022-04-02,17.0,0.4
2022-04-03,8.5,-0.4
2022-04-04,15.0,1.3
2022-04-05,16.7,6.4
2022-04-06,15.7,4.0
2022-04-07,13.7,3.8
2022-04-08,16.3,1.0
2022-04-09,13.5,2.2
2022-04-10,10.9,-0.6
2022-04-11,6.5,0.5
2022-04-12,10.5,0.9
2022-04-13,14.8,0.8
2022-04-14,17.1,0.4
2023-04-01,17.8,5.0
2023-04-02,16.5,1.2
2023-04-03,17.5,2.5
2023-04-04,21.7,3.0
2023-04-05,18.3,8.1
2023-04-06,19.1,5.3
2023-04-07,14.9,4.3
2023-04-08,20.8,2.2
2023-04-09,18.8,4.7
2023-04-10,8.0,1.6
2023-04-11,12.5,2.2
2023-04-12,11.9,-1.5
2023-04-13,11.9,-1.0
2023-04-14,12.1,2.3
2024-04-01,,
2024-04-02,,
2024-04-03,,
2024-04-04,,
2024-04-05,,
2024-04-06,,
2024-04-07,,
2024-04-08,,
2024-04-09,,
2024-04-10,5.3,1.4
2024-04-11,3.8,1.2
2024-04-12,7.2,3.0
2024-04-13,11.2,3.6
2024-04-14,12.4,4.5
2025-04-01,14.5,0.1
2025-04-02,8.2,-0.3
2025-04-03,9.2,-2.4
2025-04-04,12.6,-4.8
2025-04-05,15.8,-0.9
2025-04-06,20.4,0.6
2025-04-07,21.5,6.7
2025-04-08,18.6,6.0
2025-04-09,15.9,10.0
2025-04-10,15.1,2.1
2025-04-11,12.9,-0.9
2025-04-12,12.0,3.3
2025-04-13,12.9,0.9
2025-04-14,6.9,4.3
